Teste Cromossomo (x: 14, y: 15, w: 13, z: 13) -> Equação: 5*14 + 15^2 + 13 + 13^3 = 2505
Teste Cromossomo (x: 2, y: 1, w: 10, z: 8) -> Equação: 5*2 + 1^2 + 10 + 8^3 = 533
Teste Cromossomo (x: 16, y: 13, w: 11, z: 4) -> Equação: 5*16 + 13^2 + 11 + 4^3 = 324
Teste Cromossomo (x: 15, y: 11, w: 18, z: 10) -> Equação: 5*15 + 11^2 + 18 + 10^3 = 1214
Teste Cromossomo (x: 2, y: 19, w: 16, z: 18) -> Equação: 5*2 + 19^2 + 16 + 18^3 = 6219
Teste Cromossomo (x: 12, y: 0, w: 15, z: 16) -> Equação: 5*12 + 0^2 + 15 + 16^3 = 4171
Teste Cromossomo (x: 19, y: 17, w: 11, z: 20) -> Equação: 5*19 + 17^2 + 11 + 20^3 = 8395
Teste Cromossomo (x: 6, y: 4, w: 14, z: 0) -> Equação: 5*6 + 4^2 + 14 + 0^3 = 60
Teste Cromossomo (x: 7, y: 13, w: 19, z: 11) -> Equação: 5*7 + 13^2 + 19 + 11^3 = 1554
Teste Cromossomo (x: 0, y: 13, w: 14, z: 20) -> Equação: 5*0 + 13^2 + 14 + 20^3 = 8183
Geração 1 - Melhor Cromossomo: (x: 6, y: 4, w: 14, z: 0) com Aptidão: 0.007936507936507936
Teste Cromossomo (x: 4, y: 4, w: 12, z: 4) -> Equação: 5*4 + 4^2 + 12 + 4^3 = 112
Teste Cromossomo (x: 2, y: 4, w: 14, z: 0) -> Equação: 5*2 + 4^2 + 14 + 0^3 = 40
Teste Cromossomo (x: 6, y: 4, w: 6, z: 0) -> Equação: 5*6 + 4^2 + 6 + 0^3 = 52
Teste Cromossomo (x: 6, y: 4, w: 14, z: 0) -> Equação: 5*6 + 4^2 + 14 + 0^3 = 60
Teste Cromossomo (x: 9, y: 6, w: 13, z: 20) -> Equação: 5*9 + 6^2 + 13 + 20^3 = 8094
Teste Cromossomo (x: 8, y: 2, w: 12, z: 20) -> Equação: 5*8 + 2^2 + 12 + 20^3 = 8056
Teste Cromossomo (x: 8, y: 4, w: 11, z: 12) -> Equação: 5*8 + 4^2 + 11 + 12^3 = 1795
Teste Cromossomo (x: 2, y: 1, w: 12, z: 5) -> Equação: 5*2 + 1^2 + 12 + 5^3 = 148
Teste Cromossomo (x: 0, y: 5, w: 9, z: 14) -> Equação: 5*0 + 5^2 + 9 + 14^3 = 2778
Teste Cromossomo (x: 15, y: 11, w: 2, z: 8) -> Equação: 5*15 + 11^2 + 2 + 8^3 = 710
Geração 2 - Novo Melhor Cromossomo: (x: 2, y: 1, w: 12, z: 5) com Aptidão: 0.02631578947368421
Teste Cromossomo (x: 0, y: 1, w: 9, z: 1) -> Equação: 5*0 + 1^2 + 9 + 1^3 = 11
Teste Cromossomo (x: 6, y: 3, w: 4, z: 5) -> Equação: 5*6 + 3^2 + 4 + 5^3 = 168
Teste Cromossomo (x: 2, y: 1, w: 12, z: 13) -> Equação: 5*2 + 1^2 + 12 + 13^3 = 2220
Teste Cromossomo (x: 2, y: 3, w: 12, z: 5) -> Equação: 5*2 + 3^2 + 12 + 5^3 = 156
Teste Cromossomo (x: 4, y: 4, w: 8, z: 4) -> Equação: 5*4 + 4^2 + 8 + 4^3 = 108
Teste Cromossomo (x: 4, y: 4, w: 12, z: 4) -> Equação: 5*4 + 4^2 + 12 + 4^3 = 112
Teste Cromossomo (x: 4, y: 4, w: 10, z: 2) -> Equação: 5*4 + 4^2 + 10 + 2^3 = 54
Teste Cromossomo (x: 6, y: 4, w: 14, z: 4) -> Equação: 5*6 + 4^2 + 14 + 4^3 = 124
Teste Cromossomo (x: 14, y: 4, w: 14, z: 0) -> Equação: 5*14 + 4^2 + 14 + 0^3 = 100
Teste Cromossomo (x: 6, y: 4, w: 14, z: 1) -> Equação: 5*6 + 4^2 + 14 + 1^3 = 61
Geração 3 - Novo Melhor Cromossomo: (x: 6, y: 3, w: 4, z: 5) com Aptidão: 0.05555555555555555
Teste Cromossomo (x: 14, y: 3, w: 4, z: 1) -> Equação: 5*14 + 3^2 + 4 + 1^3 = 84
Teste Cromossomo (x: 6, y: 3, w: 4, z: 5) -> Equação: 5*6 + 3^2 + 4 + 5^3 = 168
